time (s),vertical,horizontal,axial
0.00679687,-16.0516,17.8308,4.39839
0.00683594,-16.4605,17.3926,3.30402
0.006875,-16.8063,17.2443,2.2072
0.00691406,-17.1018,17.3122,1.11211
0.00695313,-17.351,17.2788,0.00762274
0.00699219,-17.5695,17.0074,-1.11019
0.00703125,-17.7424,16.6599,-2.23515
0.00707031,-17.8043,16.3982,-3.36942
0.00710938,-17.7223,16.2096,-4.50845
0.00714844,-17.5418,16.0412,-5.62129
0.0071875,-17.3438,15.912,-6.67365
0.00722656,-17.1803,15.8169,-7.65707
0.00726563,-17.0421,15.6418,-8.58247
0.00730469,-16.8746,15.3216,-9.47137
0.00734375,-16.6301,14.9967,-10.3471
0.00738281,-16.3269,14.8593,-11.2
0.00742188,-16.0231,14.8919,-12.0019
0.00746094,-15.7474,14.8764,-12.7634
0.0075,-15.4981,14.6856,-13.516
0.00753906,-15.2584,14.4572,-14.2684
0.00757812,-15.0165,14.407,-15.0196
0.00761719,-14.7999,14.5608,-15.7656
0.00765625,-14.6593,14.7369,-16.4984
0.00769531,-14.6402,14.7381,-17.2194
0.00773437,-14.7555,14.5107,-17.9289
0.00777344,-14.9458,14.1517,-18.6227
0.0078125,-15.114,13.846,-19.3042
0.00785156,-15.2213,13.7797,-19.9724
0.00789063,-15.3222,13.9879,-20.6068
0.00792969,-15.4916,14.2733,-21.1742
0.00796875,-15.7561,14.3776,-21.6526
0.00800781,-16.1074,14.2442,-22.0457
0.00804688,-16.5121,14.0576,-22.363
0.00808594,-16.9034,14.0217,-22.6012
0.008125,-17.2284,14.1429,-22.7575
0.00816406,-17.4966,14.2606,-22.8406
0.00820313,-17.7583,14.2587,-22.8614
0.00824219,-18.0455,14.1756,-22.8207
0.00828125,-18.3549,14.1185,-22.7138
0.00832031,-18.6553,14.1631,-22.5405
0.00835938,-18.8915,14.329,-22.2951
0.00839844,-19.0495,14.5513,-21.9651
0.0084375,-19.1971,14.6982,-21.5444
0.00847656,-19.3819,14.7009,-21.0308
0.00851563,-19.555,14.6306,-20.4224
0.00855469,-19.6341,14.622,-19.7258
0.00859375,-19.5794,14.7571,-18.9588
0.00863281,-19.4055,15.0047,-18.1499
0.00867188,-19.1732,15.256,-17.3279
0.00871094,-18.9768,15.4367,-16.5061
0.00875,-18.8979,15.5775,-15.6786
0.00878906,-18.927,15.764,-14.8353
0.00882813,-18.9437,16.0295,-13.9821
0.00886719,-18.8206,16.3189,-13.1336
0.00890625,-18.5518,16.5466,-12.2939
0.00894531,-18.2519,16.6811,-11.4586
0.00898438,-18.0256,16.7823,-10.6156
0.00902344,-17.8766,16.932,-9.73758
0.0090625,-17.7538,17.1328,-8.80783
0.00910156,-17.6078,17.3324,-7.84145
0.00914062,-17.4012,17.5089,-6.85819
0.00917969,-17.1428,17.6556,-5.86687
0.00921875,-16.8807,17.7568,-4.87235
0.00925781,-16.6583,17.8557,-3.86967
0.00929687,-16.5214,18.0337,-2.85065
0.00933594,-16.4763,18.2744,-1.82116
0.009375,-16.4449,18.4642,-0.808814
0.00941406,-16.3627,18.5446,0.150006
0.00945312,-16.2543,18.5799,1.04617
0.00949219,-16.1714,18.6525,1.89001
0.00953125,-16.1397,18.7356,2.68084
0.00957031,-16.1509,18.7438,3.42793
0.00960937,-16.1596,18.6603,4.15376
0.00964844,-16.1077,18.5268,4.86737
0.0096875,-15.9751,18.371,5.56778
0.00972656,-15.8163,18.2266,6.25003
0.00976562,-15.7177,18.1869,6.91669
0.00980469,-15.7117,18.305,7.58885
0.00984375,-15.7496,18.4289,8.27331
0.00988281,-15.7304,18.3364,8.93731
0.00992188,-15.5549,18.0526,9.53158
0.00996094,-15.2036,17.8206,10.0192
0.01,-14.7519,17.7697,10.387
0.0100391,-14.295,17.7706,10.6444
0.0100781,-13.8738,17.6083,10.8022
0.0101172,-13.4601,17.2317,10.8656
0.0101563,-13.0054,16.8324,10.8626
0.0101953,-12.4962,16.6463,10.838
0.0102344,-11.9562,16.6807,10.8192
0.0102734,-11.4109,16.7131,10.819
0.0103125,-10.8634,16.5143,10.8307
0.0103516,-10.3092,16.0386,10.8188
0.0103906,-9.73512,15.5041,10.7545
0.0104297,-9.11166,15.236,10.6303
0.0104688,-8.44492,15.3067,10.4463
0.0105078,-7.7911,15.4297,10.2023
0.0105469,-7.19732,15.2994,9.88221
0.0105859,-6.68281,14.9202,9.46934
0.010625,-6.24083,14.5077,8.97736
0.0106641,-5.83549,14.1824,8.42987
0.0107031,-5.42574,13.9169,7.84302
0.0107422,-4.99115,13.6984,7.23492
0.0107813,-4.54252,13.5533,6.61681
0.0108203,-4.11893,13.4325,5.99348
0.0108594,-3.76517,13.2308,5.38121
0.0108984,-3.48186,12.9436,4.7987
0.0109375,-3.21611,12.6928,4.24996
0.0109766,-2.93612,12.562,3.72592
0.0110156,-2.66875,12.4705,3.21016
0.0110547,-2.4654,12.2702,2.68575
0.0110937,-2.35207,11.9329,2.1372
0.0111328,-2.29135,11.5569,1.54966
0.0111719,-2.22581,11.2437,0.917252
0.0112109,-2.13615,11.0291,0.251703
0.01125,-2.04494,10.8583,-0.423051
