frequency (Hz),vertical,horizontal,axial
375,0.00275325,0.00450019,0.0458933
376.562,0.00567165,0.0064558,0.0569601
378.125,0.00510515,0.00652201,0.0365218
379.688,0.00293689,0.0028026,0.0153813
381.25,0.00443978,0.00591435,0.0272626
382.812,0.00648415,0.00349996,0.0199691
384.375,0.00695894,0.00444244,0.0367998
385.938,0.00744419,0.00524714,0.0529391
387.5,0.00387138,0.00480321,0.0657231
389.062,0.00563249,0.00328533,0.0359768
390.625,0.00524032,0.00292126,0.00644361
392.188,0.00479859,0.00290593,0.0117577
393.75,0.0104682,0.00458476,0.0077418
395.312,0.034062,0.00543918,0.0254648
396.875,0.0368975,0.00398549,0.0312875
398.438,0.0154679,0.00468052,0.00542521
400,0.012988,0.00446525,0.0145571
401.562,0.0126888,0.0049625,0.0185227
403.125,0.0112147,0.00422158,0.0165622
404.688,0.00792532,0.00340742,0.016689
406.25,0.0162315,0.00850347,0.0152244
407.812,0.0130386,0.00866006,0.0200772
409.375,0.0110912,0.00769984,0.0161985
410.938,0.0118428,0.00763845,0.0124957
412.5,0.00408366,0.00450177,0.00897135
414.062,0.00625109,0.00666875,0.00787046
415.625,0.00360812,0.00219159,0.0210931
417.188,0.00306985,0.00501316,0.0386133
418.75,0.0111896,0.00748294,0.0522322
420.312,0.0217389,0.00934208,0.0805051
421.875,0.0100618,0.00473126,0.0454022
423.438,0.00543989,0.00199703,0.0297071
425,0.00271797,0.00428583,0.00837771
426.562,0.00555204,0.00396649,0.0181072
428.125,0.0037053,0.00160668,0.0182043
429.688,0.00366128,0.00289997,0.0239978
431.25,0.00668645,0.00451237,0.0256681
432.812,0.00468258,0.0048518,0.0150054
434.375,0.00576737,0.00293441,0.0163736
435.938,0.00714778,0.00517098,0.0150586
437.5,0.00489307,0.00497271,0.00659656
439.062,0.00748431,0.00527434,0.00896948
440.625,0.00493817,0.00653309,0.0133652
442.188,0.0129377,0.00773002,0.0189917
443.75,0.013154,0.00402496,0.00896586
445.312,0.00993701,0.00335726,0.0141856
446.875,0.00523299,0.00225069,0.0129973
448.438,0.0110606,0.00731246,0.0115419
450,0.0145453,0.00798966,0.00779516
451.562,0.00409779,0.00180704,0.00363709
453.125,0.00290577,0.00235526,0.00599273
454.688,0.00934691,0.00344948,0.00816066
456.25,0.0105391,0.00229523,0.00641396
457.812,0.00289879,0.000866905,0.00386196
459.375,0.0045661,0.00284519,0.00762461
460.938,0.00581685,0.00366889,0.00659599
462.5,0.00534133,0.00263695,0.00303886
464.062,0.00608195,0.00511959,0.00626104
465.625,0.00715538,0.00399353,0.0110676
467.188,0.00904642,0.00470512,0.00846246
468.75,0.00676841,0.00256024,0.00985894
470.312,0.00460893,0.0022486,0.00867107
471.875,0.00609879,0.0054616,0.00763327
473.438,0.00858463,0.00788458,0.0163035
475,0.00507073,0.00499577,0.0098105
476.562,0.00529371,0.00231315,0.0067936
478.125,0.0119105,0.00370616,0.0223582
479.688,0.00835118,0.00294086,0.0217498
481.25,0.00292242,0.00198763,0.0091645
482.812,0.00411018,0.00194969,0.00890828
484.375,0.00441549,0.00167493,0.0106279
485.938,0.00427731,0.00315642,0.00878214
487.5,0.00507926,0.00302859,0.0137668
489.062,0.00181647,0.00232583,0.0115121
490.625,0.00646566,0.00278332,0.0149947
492.188,0.00820694,0.00281405,0.0131678
493.75,0.00690611,0.00159736,0.00859148
495.312,0.00337406,0.00322878,0.00457457
496.875,0.00275306,0.00496573,0.00622153
498.438,0.00769361,0.00333957,0.00926317
500,0.00807545,0.00379349,0.0132119
501.562,0.00759943,0.0106549,0.00655256
503.125,0.00649653,0.0117333,0.0110378
504.688,0.00534679,0.00588686,0.00776433
506.25,0.0121366,0.00348396,0.0152936
507.812,0.0126202,0.00213912,0.0106551
509.375,0.0078191,0.00419723,0.0081416
510.938,0.00776938,0.00348434,0.00705015
512.5,0.00303564,0.00357801,0.00351206
514.062,0.00416753,0.00306262,0.00689337
515.625,0.00275993,0.00212373,0.00542906
517.188,0.00432786,0.00288831,0.0084698
518.75,0.0130899,0.00570018,0.00659279
520.312,0.0666709,0.0175815,0.0179047
521.875,0.0659929,0.0164532,0.0167088
523.438,0.0126929,0.00294734,0.0095489
525,0.0112938,0.00459623,0.00680319
526.562,0.00954912,0.00355378,0.00331076
528.125,0.00881097,0.00407951,0.00840724
529.688,0.00799914,0.00300715,0.00634834
531.25,0.0118206,0.00480596,0.00518251
532.812,0.0117941,0.00227906,0.00831811
534.375,0.0167988,0.00450248,0.0039619
535.938,0.0348159,0.00525851,0.0078901
537.5,0.0405459,0.00348297,0.0123843
539.062,0.0183491,0.00243469,0.0102519
540.625,0.0412905,0.00268433,0.0155035
542.188,0.0290295,0.00228992,0.0136703
543.75,0.0107648,0.00326611,0.00489462
545.312,0.0101432,0.00197171,0.00351748
546.875,0.00461164,0.00278726,0.00564749
548.438,0.00436576,0.00274651,0.00742617
550,0.0144045,0.00186187,0.00634719
551.562,0.0125171,0.00136864,0.00402227
553.125,0.00887344,0.000977934,0.00393828
554.688,0.00950455,0.00296314,0.00482808
556.25,0.0167907,0.00343816,0.0101717
557.812,0.0181867,0.00334582,0.00811892
559.375,0.00994379,0.0025377,0.00674122
560.938,0.0164285,0.00398716,0.00963158
562.5,0.00943719,0.00222876,0.00885868
564.062,0.0123421,0.00140696,0.0048782
565.625,0.0120439,0.00268856,0.00871841
567.188,0.00787328,0.00387078,0.00851182
568.75,0.0039847,0.00388844,0.00381601
570.312,0.00916586,0.00264647,0.00691502
571.875,0.0161555,0.00101167,0.00309208
573.438,0.0154199,0.00155663,0.00336167
575,0.0176853,0.00232338,0.00748811
576.562,0.0114323,0.00210751,0.0124236
578.125,0.0149416,0.000886874,0.00998638
579.688,0.0138408,0.00493461,0.0105398
581.25,0.0117015,0.00295801,0.00806508
582.812,0.00886283,0.00142808,0.00777018
584.375,0.00439995,0.00163422,0.00843135
585.938,0.00600963,0.0026972,0.0123662
587.5,0.00603693,0.00277343,0.0153738
589.062,0.0082278,0.00272295,0.00882899
590.625,0.00677738,0.00225953,0.0102345
592.188,0.0125319,0.00184844,0.0112136
593.75,0.0159561,0.0036201,0.0113076
595.312,0.0221169,0.00326801,0.0117475
596.875,0.0233328,0.00202882,0.007567
598.438,0.054221,0.00355688,0.0107642
600,0.0583637,0.00190594,0.0130007
601.562,0.0155383,0.00103013,0.00438804
603.125,0.0180507,0.00175515,0.00662526
604.688,0.0140029,0.00220163,0.00880154
606.25,0.0107007,0.00187736,0.00879247
607.812,0.0221625,0.00249564,0.00718124
609.375,0.0181434,0.00280622,0.00571737
610.938,0.0185521,0.00353804,0.0120554
612.5,0.00961243,0.00358883,0.0124505
614.062,0.0189062,0.00452113,0.0103098
615.625,0.0260008,0.00357273,0.0163505
617.188,0.0507959,0.00436555,0.0216251
618.75,0.0449317,0.00296214,0.020852
620.312,0.0173484,0.00190973,0.00710874
621.875,0.0195578,0.00253053,0.00432728
623.438,0.0196432,0.00192047,0.00510567
625,0.0361013,0.00320342,0.00860491
626.562,0.0532332,0.00562055,0.00792892
628.125,0.0497081,0.00328389,0.0102682
629.688,0.0386729,0.00201441,0.0088409
631.25,0.0273621,0.00437043,0.00706983
632.812,0.0178711,0.00413828,0.00826222
634.375,0.0125529,0.00183746,0.00878184
635.938,0.0352603,0.00104685,0.00886543
637.5,0.0128206,0.00195414,0.00673218
639.062,0.00799187,0.00233807,0.00507983
640.625,0.0235183,0.00244954,0.00805565
642.188,0.0284674,0.00242518,0.00862313
643.75,0.0171499,0.00141022,0.00760825
645.312,0.0630486,0.00389437,0.0103552
646.875,0.112675,0.00767369,0.0231233
648.438,0.0790358,0.00486941,0.0205928
650,0.0611843,0.00179258,0.0136553
651.562,0.0373662,0.00201641,0.00457246
653.125,0.0299001,0.00242587,0.00536758
654.688,0.0500486,0.00219749,0.00630161
656.25,0.0234915,0.000637321,0.00372964
657.812,0.0236083,0.00147326,0.0069298
659.375,0.0426652,0.00268731,0.0121391
660.938,0.029687,0.00293928,0.00721465
662.5,0.018693,0.00176682,0.00498543
664.062,0.0192469,0.00218277,0.00599997
665.625,0.031851,0.00304456,0.00871701
667.188,0.0476145,0.00272728,0.0109778
668.75,0.0711562,0.002549,0.00547849
670.312,0.146423,0.00805803,0.0103513
671.875,0.122753,0.00743062,0.0130069
673.438,0.0514175,0.00316268,0.00979866
675,0.0665472,0.00468704,0.00698065
676.562,0.0679324,0.00678484,0.00565401
678.125,0.079549,0.00439647,0.00871271
679.688,0.0709399,0.00373451,0.00518839
681.25,0.0421759,0.00143793,0.0038703
682.812,0.034457,0.00152837,0.00530786
684.375,0.0366653,0.00460698,0.00594122
685.938,0.0409915,0.00636518,0.0044501
687.5,0.0303109,0.00318799,0.00104219
689.062,0.027937,0.00262454,0.0018479
690.625,0.0221069,0.00437339,0.00500667
692.188,0.0423158,0.00690806,0.00478435
693.75,0.276946,0.0343092,0.0192666
695.312,0.354528,0.0435168,0.0214687
696.875,0.101129,0.0159739,0.00581493
698.438,0.0278319,0.00572242,0.0105801
700,0.0332847,0.00469358,0.0062101
701.562,0.0456829,0.00990729,0.00924882
703.125,0.0410845,0.00857933,0.00358046
704.688,0.068198,0.0128017,0.0069811
706.25,0.0820053,0.0122246,0.00805197
707.812,0.0472711,0.00528243,0.00243287
709.375,0.0475763,0.00753252,0.00503686
710.938,0.0409398,0.00262726,0.00497859
712.5,0.0607597,0.00618876,0.00833849
714.062,0.183661,0.0402369,0.0180568
715.625,0.192901,0.0427326,0.0142872
717.188,0.0371634,0.00737044,0.00874801
718.75,0.146675,0.0247687,0.00672865
720.312,0.112171,0.024339,0.00653207
721.875,0.0759957,0.0187194,0.00454128
723.438,0.0648163,0.0144182,0.00612886
725,0.0658024,0.0109164,0.00517565
726.562,0.0555238,0.0159531,0.00382308
728.125,0.0218283,0.00658608,0.0044618
729.688,0.0526365,0.0109278,0.00863193
731.25,0.0681687,0.0122683,0.00647749
732.812,0.0245435,0.00887667,0.0040368
734.375,0.0412232,0.00973967,0.0053614
735.938,0.0569007,0.0180384,0.00543807
737.5,0.054693,0.0187811,0.00447653
739.062,0.0156311,0.0102671,0.00594238
740.625,0.0370065,0.00656424,0.00625497
742.188,0.0759553,0.011741,0.013207
743.75,0.0694412,0.0151317,0.0175047
745.312,0.00811384,0.0137678,0.00855942
746.875,0.0441827,0.0174089,0.00706643
748.438,0.0798927,0.051233,0.0214064
750,0.0589262,0.0343277,0.0141876
751.562,0.0363966,0.00448623,0.00666693
753.125,0.0742232,0.00557823,0.0112552
754.688,0.057846,0.00783331,0.00892381
756.25,0.0587915,0.00457427,0.00950499
757.812,0.0359799,0.004275,0.00789511
759.375,0.0124336,0.00426356,0.00419962
760.938,0.0277613,0.00467501,0.00638083
762.5,0.0566464,0.0091558,0.0134897
764.062,0.05485,0.00857285,0.0114988
765.625,0.0158282,0.00354139,0.00908273
767.188,0.04159,0.012531,0.0118005
768.75,0.0355868,0.00981161,0.00926305
770.312,0.0234774,0.00418874,0.00138035
771.875,0.0689486,0.0100263,0.00804531
773.438,0.124901,0.020267,0.0198403
775,0.117685,0.0215713,0.0228437
776.562,0.0359023,0.00892619,0.00954396
778.125,0.00842571,0.00351291,0.00307118
779.688,0.0111274,0.00319016,0.00361885
781.25,0.00837691,0.00278187,0.00377376
782.812,0.00710335,0.00171908,0.00663631
784.375,0.0100558,0.00464966,0.007105
785.938,0.0123884,0.00295708,0.00584975
787.5,0.0135339,0.00266623,0.00474804
789.062,0.0154531,0.00170467,0.00534559
790.625,0.0259235,0.00464138,0.00552376
792.188,0.0250449,0.00515026,0.00681852
793.75,0.0145463,0.00195879,0.00330419
795.312,0.0141034,0.00251541,0.00205377
796.875,0.0149259,0.00376282,0.00524433
798.438,0.00986905,0.00233424,0.00572302
800,0.00820307,0.00216762,0.00296541
801.562,0.0152269,0.00490404,0.00521117
803.125,0.0145935,0.00374888,0.00337347
804.688,0.0110086,0.00263903,0.00191303
806.25,0.0124682,0.0024326,0.00316234
807.812,0.0133304,0.00103701,0.00377459
809.375,0.012869,0.00171561,0.00478894
810.938,0.00801717,0.00247837,0.0033206
812.5,0.0128054,0.00201096,0.00232324
814.062,0.00884865,0.00134624,0.00507679
815.625,0.0132269,0.000721866,0.0056957
817.188,0.0112361,0.00137341,0.00273769
818.75,0.00770639,0.0020167,0.00340147
820.312,0.0153549,0.00456202,0.00949614
821.875,0.0199585,0.0030474,0.00949791
823.438,0.042629,0.00524098,0.0131738
825,0.0481093,0.00966837,0.0155723
826.562,0.0376149,0.00926629,0.0135696
