time (s),vertical,horizontal,axial
0.00972656,0.343081,-0.317418,1.71302
0.00976562,0.0839043,0.12322,1.69121
0.00980469,-0.138195,0.505717,1.74281
0.00984375,-0.143157,0.152752,1.75654
0.00988281,0.161831,-0.625213,1.63708
0.00992188,0.674348,-0.846575,1.39372
0.00996094,1.08087,-0.355364,1.08133
0.01,1.20055,0.0971479,0.770003
0.0100391,1.11014,-0.0858508,0.505671
0.0100781,1.01571,-0.755752,0.251229
0.0101172,1.0728,-1.20504,0.0145443
0.0101563,1.23145,-0.874783,-0.095068
0.0101953,1.35892,-0.094072,-0.096455
0.0102344,1.39433,0.275594,-0.0637526
0.0102734,1.38844,-0.105199,0.00121218
0.0103125,1.4069,-0.932679,-0.000480917
0.0103516,1.42594,-1.55071,-0.120793
0.0103906,1.51199,-1.24044,-0.273075
0.0104297,1.6855,-0.16168,-0.432419
0.0104688,1.73957,0.526907,-0.58446
0.0105078,1.61982,0.11107,-0.743977
0.0105469,1.42788,-0.796543,-0.98111
0.0105859,1.20774,-1.18868,-1.22706
0.010625,1.05108,-0.971216,-1.39301
0.0106641,1.01815,-0.734585,-1.51579
0.0107031,1.07571,-0.659747,-1.59749
0.0107422,1.14944,-0.490461,-1.62576
0.0107813,1.15066,-0.277186,-1.64878
0.0108203,1.02036,-0.364673,-1.65206
0.0108594,0.787822,-0.700229,-1.59015
0.0108984,0.654246,-0.811747,-1.49577
0.0109375,0.697777,-0.51101,-1.41293
0.0109766,0.730126,-0.18602,-1.36603
0.0110156,0.633515,-0.307127,-1.36874
0.0110547,0.39751,-0.754281,-1.4103
0.0110937,0.165241,-1.02357,-1.49379
0.0111328,0.124491,-0.956441,-1.61297
0.0111719,0.191912,-0.696738,-1.727
0.0112109,0.25186,-0.443032,-1.78509
0.01125,0.201525,-0.468124,-1.77417
0.0112891,-0.0426997,-0.823751,-1.74261
0.0113281,-0.253946,-1.14573,-1.66712
0.0113672,-0.204447,-1.03723,-1.53054
0.0114062,0.0544013,-0.61601,-1.44718
0.0114453,0.339014,-0.301308,-1.38077
0.0114844,0.541269,-0.143829,-1.20936
0.0115234,0.6334,-0.0794214,-1.01974
0.0115625,0.492849,-0.255975,-0.907986
0.0116016,0.281014,-0.584802,-0.862359
0.0116406,0.341777,-0.754536,-0.851196
0.0116797,0.578932,-0.687776,-0.852799
0.0117188,0.798573,-0.650346,-0.880221
0.0117578,0.870464,-0.922763,-0.898644
0.0117969,0.724932,-1.26187,-0.870939
0.0118359,0.629717,-1.13816,-0.807277
0.011875,0.666545,-0.632311,-0.68187
0.0119141,0.602511,-0.308091,-0.516411
0.0119531,0.432733,-0.245774,-0.34612
0.0119922,0.351433,-0.229137,-0.145855
0.0120313,0.389955,-0.506385,0.0139347
0.0120703,0.338309,-1.10455,0.0179553
0.0121094,0.21472,-1.29502,-0.106121
0.0121484,0.187102,-0.806957,-0.255927
0.0121875,0.134565,-0.373391,-0.402905
0.0122266,0.00742172,-0.558216,-0.55605
0.0122656,-0.174597,-1.0117,-0.682902
0.0123047,-0.391431,-1.18446,-0.747195
0.0123438,-0.444462,-1.10728,-0.742108
0.0123828,-0.396169,-0.977162,-0.691577
0.0124219,-0.435963,-0.693038,-0.578657
0.0124609,-0.554137,-0.353531,-0.371435
0.0125,-0.712041,-0.413854,-0.189399
0.0125391,-0.782939,-0.946085,-0.145208
0.0125781,-0.766973,-1.31951,-0.214376
0.0126172,-0.744124,-0.9868,-0.357181
0.0126563,-0.648792,-0.33888,-0.498759
0.0126953,-0.602449,-0.292618,-0.637336
0.0127344,-0.738142,-1.02034,-0.815507
0.0127734,-0.938996,-1.65675,-0.966177
0.0128125,-1.04873,-1.52525,-1.10343
